Designator,Mid X,Mid Y,Rotation,Layer
KC_T1,-23.812608,21.280454,0.0,top
KC_TAB1,-123.825108,21.280454,0.0,top
KC_U1,14.287392,21.280454,0.0,top
KC_V1,-28.575108,-16.819546,0.0,top
KC_W1,-80.962608,21.280454,0.0,top
KC_X1,-66.675108,-16.819546,0.0,top
KC_Y1,-4.762608,21.280454,0.0,top
KC_Z1,-85.725108,-16.819546,0.0,top
R1,-103.88216,8.992368,270.0,bottom
SW1,-84.832176,8.631832,270.0,bottom
SW2,-79.176712,8.631832,270.0,bottom
U1,-109.437448,8.797281,90.0,bottom
U2,-111.409622,15.64085,0.0,bottom
U3,-107.716939,20.717536,90.0,bottom
